author,scope,landed,planning,positive,negative,themes,price_pct,workloads
chattymatt,MID,Proxmox,,Proxmox,,never_going_back|homelab_matches_work,,150
thomasfuchsberger3912,MID,Proxmox,,Proxmox,,cloud_provider,,800
stefanh7948,ENT,Proxmox,,Proxmox,,multi_cluster,,3500
prabhakarpatil8085,ENT,Proxmox,,,,migration_in_flight,,4000
RoyOlsen,ENT,Proxmox,,Proxmox,,contract_cliff,,4000
kenp5186,MID,Proxmox,,Proxmox,,migration_in_flight,,200
woodlanditguy2951,MID,Proxmox,,Proxmox,,migration_was_easy|veeam_helped,,
GinkoYoki234,MID,Proxmox,,Proxmox,Hyper-V,ceph|learning_curve_fine|growing_pains,,
alexiekola,HOME,Proxmox,,Proxmox,,vmug_refugee,,
gardnerjp1,UNK,Proxmox,,Proxmox,,never_going_back,,
MH-xy3vh,HOME,Proxmox,,Proxmox,VMware,gap_ipam_rbac,,
soiledhalo2296,MID,Proxmox,,Proxmox,,hardware_refresh_trigger,,
starbetrayer,UNK,Proxmox,,Proxmox,,,,
eilanbarak,MID,Proxmox,,Proxmox,,migration_tooling_friction,,
randalsmith2713,UNK,Proxmox,,,,,,
thisismustamt,ENT,Proxmox,,Proxmox,,dont_need_support,,
jakke4561,MID,Proxmox,,Proxmox,,left_before_broadcom|never_going_back,,
bakerbros.109,UNK,Proxmox,,,,left_before_broadcom,,
aaronbenson982,UNK,Proxmox,,Proxmox,,,,
davemorrison9775,UNK,Proxmox,,Proxmox,,never_going_back,,
MatsLidstrom-cl8wz,UNK,Proxmox,,Proxmox,,never_going_back,,
BartvandenBoomgaard,UNK,Proxmox,,Proxmox,,,,
Phil-D83,UNK,Proxmox,,Proxmox,,,,
dnatech4477,UNK,Proxmox,,Proxmox,,,,
sspence65,UNK,Proxmox,,Proxmox,,,,
TeamGuy52,UNK,Proxmox,,Proxmox,,cattle_not_pets,,
progmetalorg7000,UNK,,,Proxmox,,proxmox_will_win,,
seansingh4421,UNK,,,Proxmox,,,,
travisback6756,UNK,Proxmox,,Proxmox,,lxc_containers,,
ekranium,HOME,Proxmox,,Proxmox,VMware,free_matters|better_ui,,
AceBoy2099,HOME,Proxmox,,Proxmox,,workstation_refugee,,
ZacCrawforth,MID,Proxmox|Hyper-V,,Proxmox|Hyper-V,,free_tier_killed_loyalty|migration_in_flight,,
Tesserakt8,HOME,Proxmox,,Proxmox,,,,
SerenityMusicOasis,UNK,Proxmox,,Proxmox,,,,
bossK78,UNK,Proxmox,,Proxmox,,,,
michaelwaldhaeusl3586,MID,Proxmox,,Proxmox,,digital_sovereignty,,
definitelynotadam,CONSULT,Proxmox,,Proxmox,,digital_sovereignty|multitenancy_tooling,,
bearinch,MID,Proxmox,,Proxmox,,vmotion_rebuttal,,
thegorn,HOME,Proxmox|KVM,,Proxmox,XCP-ng,nested_virt_gap|free_matters,,
ericdano,UNK,Hyper-V|Proxmox,,Proxmox,,,,
daniyar34,UNK,Hyper-V,,Proxmox,,old_hardware_gap,,
timdion9527,MID,Proxmox,,Proxmox,,free_matters|better_than_vmware,,
MrPete1985,HOME,Proxmox,,,Proxmox,onboarding_friction,,
byteblaster_ee,UNK,Proxmox,Talos,,,k8s_future,,
Hier_regiert_der_DSC,CONSULT,KVM,,KVM,,cost_savings_realized|perpetual_license_holdout,,
